,id,name,image,group,year
0,project221,TEXT SUMMARIZATION WEB APP,item221.jpg,Development,2023
1,project292,Competitive Programming,item222.jpg,CP,2023
2,item223,Write yourself a Git!,item223.png,Miscellaneous,2023
3,project224,File Compression System,item224.jpg,Miscellaneous,2023
4,project225,FAST-G,item225.jpg,Miscellaneous,2023
5,project226,Developing Trading Strategy with Pine Script,item226.png,Miscellaneous,2023
6,project227,Real time Driver Drowsiness detection System,item227.jpg,Machine Learning,2023
7,project228,The Image Cartoonifier,item228.png,Machine Learning,2023
8,project229,Speech to Speech Translation,item229.png,Machine Learning,2023
9,project230,Competitive Programming - Newbie to Master,item230.png,CP,2023
10,project241,Path-Planning of Swarm Robotics in 2/3D space,item241.jpeg,Machine Learning,2023
11,project242,Image Super Resolution using Deep Neural Networks,item242.jpg,Machine Learning,2023
12,project243,Enhance Low Resolution Image using GANs,item243.jpg,Machine Learning,2023
13,project244,MyBox,item244.png,Development,2023
14,project245,Deep Carlsen,item245.jpg,Machine Learning,2023
15,project246,InstiExchange - A web marketplace for IITB,item246.png,Development,2023
16,project247,Homomorphic Encryption for k-NN on the Cloud,item247.jpg,Miscellaneous,2023
17,project248,TRayCer,item248.png,Miscellaneous,2023
18,project254,Social media website with MERN,item254.jpg,Developement,2023
19,project249,Dive into Digital Image Processing,item249.png,Machine Learning,2023
20,project250,Neural Quest,item250.jpg,Machine Learning,2023
21,project251,To the Quantum Future,item251.jpg,Miscellaneous,2023
22,project252,Street Fighter II - Reinforcement Learning,item252.png,Machine Learning,2023
23,project253,Combinatorial Computing,item253.png,Miscellaneous,2023
24,project255,Navigating the Waters of AI,item255.png,Machine Learning,2023
25,project256,Autonomous Driving Vehicle,item256.jpg,Machine Learning,2023
26,project257,Author Identification through Stylometric Analysis,item257.jpg,Machine Learning,2023
27,project258,Breakout Genius - Using RL to Build an AI Game Master,item258.jpg,Machine Learning,2023
28,project259,Image Captioning,item259.jpg,Machine Learning,2023
29,project260,Cricbuzz,item260.jpeg,Development,2023
30,project261,Competitive Programming (CP),item261.jpg,CP,2023
31,project262,Economics meets Machine Learning,item262.png,Machine Learning,2023
32,project263,"SynerG Lab, CSE Department - Webpage",item263.jpg,Development,2023
33,project264,Computer vision for driverless vehicles,itemss.jpg,Machine Learning,2023
34,project265,AudioHive A Social Audio App,audio_hive.png,Machine Learning,2023
35,project266,Learning the Latent structure in LLMs,item266.png,Machine Learning,2023
36,project267,EdConnect,item267.jpeg,Development,2023
37,project268,NFTs Where Art and Tech Converge,item268.jpeg,Blockchain,2023
38,project269,Dive into the World of Quant,item269.png,Miscellaneous,2023
39,project270,COLLIDE,item270.png,Development,2023
40,project271,Image Processing and Object Detection,item271.png,Machine Learning,2023
41,project272,Unreal IITB,item272.jpg,Development,2023
42,project273,Human Pose Estimation,item273.png,Machine Learning,2023
43,project274,Find me out,item274.jpeg,Machine Learning,2023
44,project275,Sign Language Recogniser,item275.jpg,Machine Learning,2023
45,project276,"E-Commerce Website for VibSpecLab, IIT Bombay",item276.png,Development,2023
46,project277,Image Caption Generator,item277.png,Machine Learning,2023
47,project278,Intro Full stack web development:Restaurant website,item-1.png,Development,2023
48,project279,App for Credit rating of Retailers in Clothing Industry,item-2.png,Development,2023
49,project280,Ray Tracing,item-3.png,Miscellaneous,2023
50,project281,YOLO-Cam-Object Detection based Analytics,item-4.png,Machine Learning,2023
51,project282,Physically Based Rendering,item-5.jpg,Miscellaneous,2023
52,project283,A Secure Erasure Code-Based Cloud Storage System with Secure Data Forwarding,item-6.png,Miscellaneous,2023
53,project284,Graph Machine Learning,item-7.jpg,Machine Learning,2023
54,project285,“The Watchdogs” - Solving a murder mystery using Computer Vision and Data Science,item-8.jpg,Machine Learning,2023
55,project286,ArgueAI,item-9.jpg,Machine Learning,2023
56,project288,Comic GPT,item-10.png,Machine Learning,2023
57,project289,InstiNav,item-11.png,Development,2023
58,project290,Face detection for attendance using AI,item-12.png,Machine Learning,2023
59,project291,Hands on Reinforcement,item-13.png,Machine Learning,2023
60,project293,RegExamaton,item0.png,Miscellaneous,2023
61,project294,Institute OnChain Voting System with ZKPs,blockchian.jpeg,Blockchain,2023
62,project295,Using Deep RL and NLP to allocate stocks in portfolio,stock.jpeg,Machine Learning,2023
63,project296,Blockchain Development- It's not that difficult!,item296.jpeg,Blockchain,2023
64,project297,Light field imaging and Dual Attention Networks,item297.png,Machine Learning,2023
65,project298,Stable Diffusion,item298.jpg,Machine Learning,2023
66,project299,FlappeRL,item299.webp,Machine Learning,2023
67,project300,Hands-on Computational Physics,item300.png,Miscellaneous,2023
68,project301,Image Colorization,item301.png,Machine Learning,2023
69,project302,PaperPal,item302.png,Machine Learning,2023
70,project303,JobFinderX,item303.jpeg,Development,2023
